file,path,line,match,category
frd/src/styles.css,frd/src/styles.css,2,--bg: #f6f4ef,hex
frd/src/styles.css,frd/src/styles.css,3,--panel: #fffdf8,hex
frd/src/styles.css,frd/src/styles.css,4,--line: #ddd8cb,hex
frd/src/styles.css,frd/src/styles.css,5,--ink: #1f2937,hex
frd/src/styles.css,frd/src/styles.css,6,--muted: #5b6470,hex
frd/src/styles.css,frd/src/styles.css,7,--accent: #0f766e,hex
frd/src/styles.css,frd/src/styles.css,8,--danger: #b91c1c,hex
frd/src/styles.css,frd/src/styles.css,22,radial-gradient(...,var(--ui-radial-1)),gradient
frd/src/styles/components.css,frd/src/styles/components.css,1,background:#fff,hex
frd/src/styles/components.css,frd/src/styles/components.css,2,background:#FAFCFF,hex
frd/src/styles/components.css,frd/src/styles/components.css,3,color:#fff,hex
frd/src/styles/components.css,frd/src/styles/components.css,9,badge backgrounds (#E7F5FF/#FFF4E6/#EAF7EC),hex
frd/src/styles/components.css,frd/src/styles/components.css,15,background-image:radial-gradient(#E9EEF3...),hex
frd/src/styles/components.css,frd/src/styles/components.css,16,node background:#fff,hex
frd/src/styles/components.css,frd/src/styles/components.css,17,node-header border-bottom:#EEF2F6,hex
frd/src/styles/components.css,frd/src/styles/components.css,19,react-flow__handle background:#B6C3D1,hex
frd/src/styles/components.css,frd/src/styles/components.css,21,edge stroke:#9CB4C9,hex
frd/src/styles/components.css,frd/src/styles/components.css,23,codearea background:#FBFDFE,hex
frd/src/styles/tokens.css,frd/src/styles/tokens.css,25,--shadow-xxs: rgba(20,30,55,.06),rgba
rdf/frontend/src/styles.css,rdf/frontend/src/styles.css,2,--bg: #f2f0ea,hex
rdf/frontend/src/styles.css,rdf/frontend/src/styles.css,3,--surface: #fffdf7,hex
rdf/frontend/src/styles.css,rdf/frontend/src/styles.css,4,--ink: #1f2a37,hex
rdf/frontend/src/styles.css,rdf/frontend/src/styles.css,25,radial-gradient(...,#fff3d6 ...),hex
rdf/frontend/src/styles.css,rdf/frontend/src/styles.css,63,box-shadow: rgba(31,42,55,0.06),rgba
rdf/frontend/src/styles.css,rdf/frontend/src/styles.css,164,box-shadow: rgba(31,138,112,0.08),rgba
frd/src/components/FlowCanvas.tsx,frd/src/components/FlowCanvas.tsx,19,className: "rf-node",inline-style-replaced
